Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,pmRA,pmDE,Plx,SimbadName,_RA_icrs,_DE_icrs,Source,RV,Gmag,BP-RP,Proba
NGC_1027,40.7148409087,61.43598132219,135.84499679084,1.38961602152,-1.566,1.957,0.9846,Gaia DR2  465674514750208384,40.71485500667,61.43597289768,465674514750208384,,15.8489,1.4518,0.8
NGC_1027,40.54166747719,61.69797439609,135.6612368323,1.59380703689,-1.611,2.311,0.9296,Gaia DR2  465682550628175872,40.54168210269,61.69796444679,465682550628175872,,17.9496,1.7652,1.0
NGC_1027,40.48811259907,61.69835474501,135.63794897797,1.58366047302,-2.264,2.759,1.0204,,40.48813316026,61.69834286568,465693889338477952,,14.6559,1.2091,0.3
NGC_1027,40.59993767856,61.35992493474,135.82652529455,1.29758715204,-1.796,2.029,0.8618,Gaia DR2  465667952040072064,40.59995381038,61.35991619883,465667952040072064,,12.8538,0.7981,1.0
NGC_1027,40.69136531069,61.56893330925,135.7795065351,1.50587199612,-1.807,1.505,0.8332,Gaia DR2  465677675845867648,40.69138165583,61.56892682812,465677675845867648,,17.5373,1.6591,0.6
NGC_1027,40.58575924007,61.53684754852,135.7470386948,1.45580555957,-1.82,2.105,0.9397,Gaia DR2  465675987914034304,40.58577568007,61.53683848482,465675987914034304,,17.7316,1.7383,1.0
NGC_1027,40.46904205669,61.76710841007,135.60132979098,1.64255642108,-1.526,2.681,0.9066,Gaia DR2  465694683916216192,40.46905594308,61.76709686627,465694683916216192,,11.9324,0.585,0.9
NGC_1027,40.52219096491,61.72866710546,135.64013385797,1.61793672987,-1.608,2.131,0.8532,Gaia DR2  465694305959115264,40.52220557804,61.72865793231,465694305959115264,,17.4478,1.596,0.9
NGC_1027,40.77403635095,61.5072015379,135.84104543564,1.4661404442,-1.819,2.246,0.8812,Gaia DR2  465676267096864000,40.7740527695,61.50719186802,465676267096864000,,15.1,1.2263,1.0
NGC_1027,40.07752489947,61.66602171089,135.47350766908,1.47430850951,-1.777,2.008,0.7803,Gaia DR2  465690212846399360,40.07754102352,61.66601306374,465690212846399360,,16.6905,1.477,1.0
NGC_1027,39.49240744828,61.34039656433,135.34926302921,1.06378087664,-2.052,2.292,0.784,Gaia DR2  465656231064169728,39.49242586849,61.34038669432,465656231064169728,,17.7232,1.5698,0.7
NGC_1027,40.3926180388,61.61567528597,135.63072295124,1.48964422135,-2.034,2.233,0.8549,Gaia DR2  465680351604917888,40.39263646442,61.61566566982,465680351604917888,,17.4082,1.6548,0.9
NGC_1027,40.68534283795,61.45903624526,135.82258212607,1.4047220777,-1.659,1.929,0.9021,Gaia DR2  465674583469654656,40.68535778967,61.45902793953,465674583469654656,,13.8286,0.9511,1.0
NGC_1027,40.3326939852,61.61333192417,135.60570905085,1.47579574232,-1.875,1.875,0.8466,Gaia DR2  465691763338601984,40.33271096695,61.61332385048,465691763338601984,,13.3578,0.7412,1.0
